drug,effectiveness_score,mean_ic50,category,model_r2
SN-38,-0.3365608220038643,-3.9712311553259707,Highly Effective,0.03661014154287856
Gemcitabine,-0.8388201026341139,-2.1921507327491785,Highly Effective,-0.009365545946671272
AZD7762,1.3028730992798103,-0.23246554054054053,Highly Effective,0.08054583938058835
Pictilisib,0.47692963947757944,1.096745341923775,Less Effective,0.04267130604957792
Afatinib,0.3462571208194558,1.8880272487491068,Less Effective,0.10125584845092683
AZD4547,0.28488131436967984,2.5102337343976777,Less Effective,0.14729744025040814
Selumetinib,0.2640333058820179,2.7874009745075323,Less Effective,0.029309069258703357
Olaparib,0.20895882819546005,3.7856317372942017,Less Effective,0.07052269271605194
PLX-4720,0.19963136490783945,4.009232895149786,Less Effective,0.20654309729234266
Avagacestat,0.18696454131737794,4.348607778533095,Less Effective,-0.023328842020786444
